"National Defence University of Malaysia","UPNM","","","","","","","","","","","","","",""
"Putra University, Malaysia","UPM","","","","","","","","","","","","","",""
"Islamic Science University of Malaysia","USIM","","","","","","","","","","","","","",""
"University of Science, Malaysia","USM","","","","","","","","","","","","","",""
"Sultan Zainal Abidin University","UniSZA","","","","","","","","","","","","","",""
"Technical University of Malaysia Malacca","UTeM","","","","","","","","","","","","","",""
"University of Technology, Malaysia","UTM","","","","","","","","","","","","","",""
"MARA University of Technology","UiTM","","","","","","","","","","","","","",""
"Tun Hussein Onn University of Malaysia","UTHM","","","","","","","","","","","","","",""
"Northern University of Malaysia","UUM","","","","","","","","","","","","","",""
"Politeknik Ungku Omar","PUO","","","","","","","","","","","","","",""
"Politeknik Sultan Haji Ahmad Shah","POLISAS","","","","","","","","","","","","","",""
"Politeknik Sultan Abdul Halim Muadzam Shah","POLIMAS","","","","","","","","","","","","","",""
"Politeknik Kota Bharu","PKB","","","","","","","","","","","","","",""
"Politeknik Kuching Sarawak","PKS","","","","","","","","","","","","","",""
"Politeknik Port Dickson","PPD","","","","","","","","","","","","","",""
"Politeknik Kota Kinabalu","PKK","","","","","","","","","","","","","",""
"Politeknik Sultan Salahuddin Abdul Aziz Shah","PSA","","","","","","","","","","","","","",""
"Politeknik Ibrahim Sultan","PIS","","","","","","","","","","","","","",""
"Politeknik Seberang Perai","PSP","","","","","","","","","","","","","",""
"Politeknik Melaka","PMK","","","","","","","","","","","","","",""
"Politeknik Kuala Terengganu","PKKT","","","","","","","","","","","","","",""
"Politeknik Sultan Mizan Zainal Abidin","PSMZA","","","","","","","","","","","","","",""
"Politeknik Merlimau","PMM","","","","","","","","","","","","","",""
"Politeknik Sultan Azlan Shah","PSAS","","","","","","","","","","","","","",""
"Politeknik Tuanku Sultanah Bahiyah","PTSB","","","","","","","","","","","","","",""
"Politeknik Sultan Idris Shah","PSIS","","","","","","","","","","","","","",""
"Politeknik Tuanku Syed Sirajuddin","PTSS","","","","","","","","","","","","","",""
"Politeknik Muadzam Shah","PMS","","","","","","","","","","","","","",""
"Politeknik Mukah Sarawak","PMU","","","","","","","","","","","","","",""
"Politeknik Balik Pulau","PBU","","","","","","","","","","","","","",""
"Politeknik Jeli","PJK","","","","","","","","","","","","","",""
"Politeknik Nilai","PNS","","","","","","","","","","","","","",""
"Politeknik Banting","PBS","","","","","","","","","","","","","",""
"Politeknik Mersing","PMJ","","","","","","","","","","","","","",""
"Politeknik Hulu Terengganu","PHT","","","","","","","","","","","","","",""
"Politeknik Sandakan","PSS","","","","","","","","","","","","","",""
"Politeknik METrO Kuala Lumpur","PMKL","","","","","","","","","","","","","",""
"Politeknik METrO Kuantan","PMKU","","","","","","","","","","","","","",""
"Politeknik METrO Johor Bahru","PMJB","","","","","","","","","","","","","",""
"Politeknik METrO Betong","PMBS","","","","","","","","","","","","","",""
"Politeknik METrO Tasek Gelugor","PMTG","","","","","","","","","","","","","",""
"Politeknik Tun Syed Nasir Syed Ismail","PTSN","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
